Category ID	Category Name	Article Number	Article Title	Blocked from Publication	Article Tabs	RightToKnow.org.au Article Number query results	First RTK request status	RTK user	RTK query title	Appears on FOI disclosure log number of times	Article Last Updated Date	Article Under Review	Article Outdated
001	"Job seekers"	001-02030000	RapidConnect 001-02030000	Blocked	3	0					02-08-2022
02-08-2022		Active
001	"Job seekers"	001-02230020	Employment assistance for people claiming Disability Support Pension 001-02230020	Blocked	2	0					02-08-2022		Active
001	"Job seekers"	001-02320030	Understanding Employment Services Assessment (ESAt) reports 001-02320030	Blocked	4	0					02-08-2022		Active
001	"Job seekers"	001-04060050	Assessing independence when a customer is an orphan 001-04060050	Blocked	6	0					02-08-2022		Active
001	"Job seekers"	001-04060060	Assessing independence when a customer is a refugee 001-04060060	Blocked	6	0					02-08-2022		Active
001	"Job seekers"	001-09070030	Exchange Trading Systems (ETS) 001-09070030	Blocked	2	0					02-08-2022		Active
001	"Job seekers"	001-09120030	Exempting a job seeker from mutual obligation requirements due to special circumstances 001-09120030	Blocked	5	0					02-08-2022		Active
001	"Job seekers"	001-09121000	Expiry and renewal of medical certificates for payments with mutual obligation requirements 001-09121000	Blocked	6	0				2	02-08-2022		Active
001	"Job seekers"	001-10040110	Participation Compliance Manual Follow Up Review guide 001-10040110	Blocked	3	0					02-08-2022		Active
001	"Job seekers"	001-17070600	Job seeker online claim appointment 001-17070600	Blocked	5	0					02-08-2022		Active
001	"Job seekers"	001-19051508	JobSeeker Payment (JSP) cancellations, suspensions and restorations 001-19051508	Blocked	3	0					02-08-2022		Active
001	"Job seekers"	001-19051511	Suspension of JobSeeker Payment (JSP) and Youth Allowance (YA) 001-19051511	Blocked	5	0					02-08-2022		Active
001	"Job seekers"	001-19051552	Assessing medical evidence for JobSeeker Payment (JSP) 001-19051552	Blocked	5	0					02-08-2022		Active
001	"Job seekers"	001-19081521	Wife Pension (WP) to JobSeeker Payment (JSP) transitional rate 001-19081521	Blocked	2	0					02-08-2022		Active
001	"Job seekers"	001-01000000	Initial contact and identification of services for job seekers 001-01000000	Open	2	0					02-08-2022		Active
001	"Job seekers"	001-02000000	Employment assistance and Employment Services Providers 001-02000000	Open	2	0					19-07-2022		Active
