
[Expand/Collapse all sections]Expand all

Income, assets and rates of payment content

  -------------- -------------------------------------------------------------------------------------------------------------------------------------------------------------
  File Name      Title
  108-01000000   Income, assets and rates of payment
  108-01010000   Payment rates and thresholds
  108-01010150   Parenting Payment Single (PPS) income and assets tests
  108-01020000   Allowance income and assets tests
  108-01020010   Income Test for single allowance customers
  108-01020020   Income Test for partnered allowance customers
  108-01020030   Personal Assets Test for allowances, Austudy and independent Youth Allowance or ABSTUDY customers
  108-01020040   Parenting Payment Partnered (PPP) income and assets tests
  108-01030000   Assessment of dependent children, additional income free area and child income under social security law
  108-01070080   Deductible Child Maintenance Expenditure
  108-02000000   The Parental Means Test
  108-02010000   Parental Income Test (PIT)
  108-02010020   Applying the Parental Income Test (PIT) for ABSTUDY and Youth Allowance (YA)
  108-02010030   Applying the Parental Income Test (PIT) for Assistance for Isolated Children (AIC) Scheme
  108-02010050   Determining the appropriate tax year for the Parental Income Test (PIT) for Youth Allowance (YA), ABSTUDY and Assistance for Isolated Children (AIC) Scheme
  108-02010060   Determining a dependent child for inclusion in the family pool for the Parental Income Test (PIT)
  108-02010080   Family taper for the Parental Income Test (PIT)
  108-02010090   Assessing and coding parental income for ABSTUDY, Assistance for Isolated Children (AIC) Scheme and Youth Allowance (YA)
  108-02010100   Linking parent records with dependent student, Australian Apprentice and job seeker recipients or claimants - Parental Income Test (PIT)
  108-02010110   Linking sibling records with customers/students/Australian Apprentices/job seekers - Parental Income Test (PIT)
  108-02010120   Youth Allowance at pending status (YAL/PSA) and dependent siblings
  108-02020000   Changes which may affect the Parental Income Test (PIT)
  108-02020020   Increase or decrease in parental income for Youth Allowance (YA), ABSTUDY and Assistance for Isolated Children (AIC) Scheme
  108-02020030   Circumstances when the Parental Income Test (PIT) does not apply
  108-02020050   Assessing verified parental income for current income assessments for ABSTUDY and Assistance for Isolated Children (AIC) Scheme
  108-02040000   Maintenance Income Test (MIT) for ABSTUDY and Youth Allowance (YA)
  108-03000000   Income and assets tests for income support payments made by Centrelink
  108-03010000   Pensions income and assets tests
  108-03010010   Income Test for single pension customers
  108-03010020   Income Test for partnered pension customers
  108-03010030   Income Test for Disability Support Pension customer who is under 21 years, with no dependent children and with affecting income at 19 September 2009
  108-03010040   Income Test for Disability Support Pension customer who is under 21 years with no dependent children
  108-03010050   Income Test for pension customers with partners on allowance
  108-03010060   Income Test for illness separated or partner in prison customers
  108-03010070   Transitional rules for pension customers who were on payment at 19 September 2009
  108-03010080   Income and assets tests for blind customers
  108-03010090   Assets Test for single pension customers
  108-03010100   Assets Test for partnered pension customers
  108-03020000   Care Receiver Income and Assets
  108-03020010   Determining the appropriate tax year for the non-customer Care Receiver Income and Assets (CRIA) test
  108-03020020   Applying the income test component of the non-customer Care Receiver Income and Assets (CRIA) test
  108-03020030   Applying the assets test component of the non-customer Care Receiver Income and Assets (CRIA) test
  108-03020040   Assets test exemptions for the non-customer Care Receiver Income and Assets (CRIA) test
  108-03020050   Coding the Care Receiver Income and Assets Details (CRIA) screen
  108-03040060   Foreign income for family assistance and Paid Parental Leave scheme payments
  108-03050000   Department of Veterans' Affairs (DVA) payment overview
  108-03050010   Income from Department of Veterans' Affairs (DVA)
  108-03050020   Department of Veterans' Affairs (DVA) clearances
  108-03050030   Calculating frozen rate pensions for Department of Veterans' Affairs War Widow(er) pensioners
  108-03060000   Defence Force Income Support Allowance (DFISA)
  108-03060010   Calculation of Defence Force Income Support Allowance (DFISA)
  108-03060020   Defence Force Income Support Allowance (DFISA) screens
  108-03060030   Defence Force Income Support Allowance (DFISA)-like payments
  108-03190000   Treatment of compensation payments
  108-03190010   The effect of compensation on Social Security payments
  108-03190020   Treatment of compensation payments for ABSTUDY
  108-03190040   Treating periodic compensation payments as a direct deduction or income
  108-04000000   Assessment of assets for Centrelink payments
  108-04010000   Coding income and assets for Centrelink payments and services
  108-04020000   Assessment of assets (CLK)
  108-04020020   Assessing a failed loan
  108-04020030   Verifying income and assets
  108-04020040   Loans and liabilities against assets
  108-04020050   Interest in an estate
  108-04030000   Assessing income and assets from cooperatives
  108-04040000   Assessing income and assets from profit sharing
  108-04050000   Assessing income and assets for ministers of religion
  108-04060000   Assessing child care business income
  108-04070000   Home ownership
  108-04070010   Determining homeowners and non-homeowners
  108-04070020   Purchasing another residence
  108-04070030   Assessing house and curtilage
  108-04070040   Non-homeowner purchasing a home
  108-04070050   Selling a home
  108-04070060   Sale of real estate by instalment or deferred payment
  108-04070070   Assessing a life interest in a home
  108-04070080   Assessing caravans, boats and park homes
  108-04080000   Exempt income and assets for Centrelink payments
  108-04080010   Exempt income
  108-04080020   Exempt Assets
  108-04080030   Exempt Funeral Investments (Funeral Bonds)
  108-04080040   Exempt lump sums
  108-04090000   Financial Investments
  108-04090010   MIN/SIN Database Maintenance and Updates
  108-04090020   Managed investments - adding a new investment
  108-04090030   Managed investments - updating existing investments
  108-04090040   Managed investments
  108-04090050   Revaluing managed investments, shares and securities
  108-04090070   Loans
  108-04100000   Home Equity Conversion loans
  108-04100010   Assessment of income from Home Equity
  108-04100020   Assessment of asset value of Home Equity Conversion loans and Reverse Mortgages
  108-04110000   Actuarial valuations
  108-04110010   Referrals for actuarial valuations
  108-04110020   Documentation required for actuarial valuations
  108-04120000   Assets hardship for income support payments
  108-04120010   Assets hardship provisions - Pensions
  108-04120020   Assets hardship provisions for allowances
  108-04120030   Completing the Consideration under assets hardship provisions
  108-04120040   Assessment of assets hardship
  108-04120050   Unrealisable assets under the Assets Test hardship provisions
  108-04120060   Severe financial hardship under the Assets Hardship Test provisions
  108-04120070   Notional income on unrealisable assets
  108-04120080   Review of assets hardship cases
  108-04130000   Real estate
  108-04130010   Assessment and sale of real estate and timeshare asset
  108-04130020   Assessing income from real estate and timeshare
  108-04130040   Address recording for real estate
  108-04130090   Valuation of real estate and other assets
  108-04130100   Maintaining the value of real estate assets on customer records
  108-05000000   Assessment of income for Centrelink payments
  108-05010000   Assessing income from seasonal work
  108-05020000   Assessment of other ordinary income for Centrelink payments
  108-05020010   Verifying and recording other income on the Other Income (OIN) screen
  108-05020020   Treatment of lump sums
  108-05020040   Assessing fringe benefits for Social Security income test purposes
  108-05020050   Foreign income and assets
  108-05030000   Estimating income for family assistance and Paid Parental Leave scheme payments
