  File Name      Title
  011-03000000   Healthcare Identifiers (HI) Service - Your Health
  011-03010000   Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010010   Allocation of Individual Healthcare Identifier (IHI) in the Healthcare Identifiers (HI) Service
  011-03010020   Verify an Individual Healthcare Identifier (IHI) in the Healthcare Identifiers (HI) Service
  011-03010030   Create Verified Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010040   Create Unverified Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010050   Create Provisional Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010060   Pseudonym Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010070   Amend Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010090   Duplicate Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010100   Identify and resolve replica Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010110   Identify and resolve duplicate Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010120   Manage deceased Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010130   Retire or expire Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010140   Reinstate Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-03010160   Security checks and release of Individual Healthcare Identifier (IHI) information
  011-03010170   IHI system logs for Individual Healthcare Identifier (IHI) in Healthcare Identifiers (HI) Service
  011-04000000   The My Health Record system - Your Health
  011-04040000   Medicare information in a My Health Record
  011-04040010   Consent to include Medicare information in a My Health Record
  011-04040040   Document details in a My Health Record
  011-04130010   Service Officer training requirements for My Health Record system access
  011-10000000   Australian Immunisation Register (AIR)
  011-10010000   Enquiries for Australian Immunisation Register (AIR)
  011-10010030   Authentication and release of information for Australian Immunisation Register (AIR)
  011-10020000   Overseas immunisations and processing history forms in the Australian Immunisation Register (AIR)
  011-10030000   Family assistance and Australian Immunisation Register (AIR)
  011-10030010   Liaison between AIR and Centrelink staff for Australian Immunisation Register (AIR)
  011-10040000   Individual registrations in the Australian Immunisation Register (AIR)
  011-10040010   Amend individual registration on the Australian Immunisation Register (AIR)
  011-10050000   Provider registration in Australian Immunisation Register (AIR)
  011-10050010   Amend Medicare providers for Australian Immunisation Register (AIR) in Provider Directory System (PDS)
  011-10050020   Register, amend or cancel ancillary providers for Australian Immunisation Register (AIR) in Provider Directory System (PDS)
  011-10060000   Immunisation medical exemptions on the Australian Immunisation Register (AIR)
  011-10070000   Proof of vaccination and the Australian Immunisation Register (AIR)
  011-10090000   Payments and statements for AIR recognised vaccination providers
  011-10090050   Action Government Direct Entry Services (GDES) report for Australian Immunisation Register (AIR) payments
  011-10100000   Process claims in the Australian Immunisation Register (AIR)
  011-10100070   Merge or match individual records and SIN records in Australian Immunisation Register (AIR)
  011-10100080   Process daily resolution in Australian Immunisation Register (AIR)
  011-10110000   Process pended claims in Australian Immunisation Register (AIR)
  011-10120000   Change requests in the Australian Immunisation Register (AIR)
  011-10130000   Returned mail for Australian Immunisation Register (AIR)
  011-10150000   Forms for Australian Immunisation Register (AIR)
  011-10160000   Australian Immunisation Register (AIR) system
  011-10160010   Navigate Australian Immunisation Register (AIR) system
  011-10160040   Action a vaccination provider's enquiry on the AIR
  011-10170010   Establish a Family Tax Benefit (FTB) link for a child between Centrelink and the Australian Immunisation Register (AIR)
  011-10170020   Management of immunisation evidence
  011-10170030   View and update a child's immunisation status and assess or update immunisation exemptions for Family Tax Benefit (FTB)
  011-11000000   Australian Organ Donor Register (AODR)
  011-11010000   Register a new organ donor in the Australian Organ Donor Register (AODR)
  011-11030000   Amend organ donor registration
  011-11040000   End date and remove requests for organ donor registrations
  011-11050000   Processing rules for Australian Organ Donor Register (AODR)
  011-11060000   Search for and verify existing organ donor registration in Australian Organ Donor Register (AODR)
  011-11070000   Search organ donor records and respond to calls on behalf of Authorised Medical Personnel (AMP)
  011-11080000   Link Donor Only entitlement to consumer record
  011-11090000   Delete duplicate organ donor registration
  011-11100000   Batch Australian Organ Donor Register (AODR) documents
  011-11110000   Action Australian Organ Donor Register (AODR) rework transaction
  011-11120000   Action Australian Organ Donor Register (AODR) returned mail
  011-11130000   Order Australian Organ Donor Register (AODR) brochures
  011-11140000   Request replacement organ donor card
  011-13000000   External Breast Prostheses Reimbursement Program (EBPRP)
  011-13010000   Eligibility for External Breast Prostheses Reimbursement Program (EBPRP)
  011-13020000   Enquiries for External Breast Prostheses Reimbursement Program (EBPRP)
  011-13030000   Claims for External Breast Prostheses Reimbursement Program (EBPRP)
  011-13030010   Lodge claim form for External Breast Prostheses Reimbursement Program (EBPRP)
  011-13030020   Validate claim form for External Breast Prostheses Reimbursement Program (EBPRP)
  011-13030030   Processing claims for External Breast Prostheses Reimbursement Program (EBPRP)
  011-13040000   External Breast Prostheses Reimbursement Program (EBPRP) 2 year claim again period
  011-13050000   Payments for External Breast Prostheses Reimbursement Program (EBPRP)
  011-13050010   Debt recovery for External Breast Prostheses Reimbursement Program (EBPRP)
  011-13060000   Forms and stationery for External Breast Prostheses Reimbursement Program (EBPRP)
  011-15000000   Medicare Compensation Recovery
  011-15010000   Case management – Medicare Compensation Recovery
  011-15020000   Notifiable and not notifiable claims – Medicare Compensation Recovery
  011-15030010   Notice of past benefits and notice of charge – Medicare Compensation Recovery
  011-15030040   Notice of reimbursement arrangement – Medicare Compensation Recovery
  011-15030050   Notice of past benefits request and notice to claimant – Medicare Compensation Recovery
  011-15030060   Statement by claimant and care costs – Medicare Compensation Recovery
  011-15030070   Extensions, decisions and reviews – Medicare Compensation Recovery
  011-15040000   Escalations and case notes – Medicare Compensation Recovery
  011-15040010   Search for or update an existing claim or register a new claim – Medicare Compensation Recovery
  011-15040040   Close, terminate, update or reopen a claim – Medicare Compensation Recovery
  011-15040100   Notice of Judgment or Settlement – Medicare Compensation Recovery
  011-15040120   Authority to access a claim – Medicare Compensation Recovery
  011-15050000   Payments, refunds and debts – Medicare Compensation Recovery
  011-15070000   Process correspondence – Medicare Compensation Recovery
  011-15070020   Mail process and work optimiser – Medicare Compensation Recovery
  011-17000000   Veterans' Affairs Processing (VAP) - Your Health
  011-17010000   Patient eligibility for Veterans' Affairs Processing (VAP)
  011-17033000   Electronic Data Interchange (EDI) claims for Simplified Billing in Medicare
  011-17112900   Medicare online services
  011-18052100   Assess and process claims in Disaster Health Care Assistance Scheme
  011-18052101   Lodge a claim in the Disaster Health Care Assistance Scheme
  011-18052102   Payment process for the Disaster Health Care Assistance Scheme
  011-18052200   Australian Immunisation Register (AIR) site functions
  011-18071128   Processing My Health Record options – tips and error reporting
  011-18111219   Greatest Permissible Gap (GPG)
  011-18120406   Assessing complex Medicare Benefits Schedule (MBS) claims with clinical details
  011-19000000   Private Health Insurance Rebate - Premium Reduction Programme
  011-19012122   Processing a Stoma or ParaQuad claim
  011-19012231   Medicare number and Medicare card requests for prisoners
  011-19042328   Newborn child enrolments in Medicare
  011-19042332   Customer enquiries about newborn child enrolments in Medicare
  011-19042334   Complex eligibility and entitlement type of newborn child enrolments in Medicare
