
[Expand/Collapse all sections]Expand all

Separated parents content

  -------------- -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  File Name      Title
  277-01000000   Customer Contact (CS)
  277-01010000   Contact with Child Support customers
  277-01020000   Identity checks and confirmation for Child Support
  277-01030000   Documenting Child Support information
  277-01050000   Customer location (tracing)
  277-01060000   Letters for Child Support customers
  277-01070000   Correspondence received in Child Support
  277-01080000   Updating Child Support customer and assessment information
  277-01090000   Incarcerated customers
  277-01100000   Customer Management Approach (CMA) for Child Support
  277-01100010   Customer Management Approach (CMA) process
  277-01100020   Common and specialised activities for Child Support staff
  277-01100040   Finalisation guidelines for Child Support staff
  277-01120000   Deceased Child Support customer management
  277-01120010   Notification of death - Child support
  277-01120020   Testacy searches and collection options when someone has died
  277-01140000   Social worker and other service referrals for Child Support customers
  277-01150000   Secure messaging for Employers and Overseas Entities
  277-02000000   Agreements (CS)
  277-02010000   Agreements between Child Support customers
  277-02010010   Assessing a new Child Support agreement
  277-02010020   Interpreting and making a decision on a Child Support agreement
  277-02010030   Recording a Child Support agreement
  277-02010040   Ending a Child Support agreement
  277-02010050   Administering agreements and court varied assessments (CVA) lodged post 1 July 2008 that include pre and post 1 July 2008 periods
  277-02020000   Notional assessment relating to child support agreements
  277-02030000   Lump Sum child support
  277-02040000   Consumer Price Index (CPI) figures (CS)
  277-02050000   Inflation adjustment (CS)
  277-03000000   Assessments (CS)
  277-03010030   Eligibility and presumption of parentage (PoP) for a child support assessment
  277-03020000   Reverse child support cases
  277-03020010   Managing reverse child support cases
  277-03020020   Complex system processing for reverse child support cases
  277-03030000   Direct requests for information from Department of Veterans' Affairs (DVA)
  277-03040000   Change in child support care levels (post 1 July 2010)
  277-03040010   Notification of change in child support care (post 1 July 2010)
  277-03040020   Investigation of change in child support care (post 1 July 2010)
  277-03040030   Child support care outcomes and decision making (post 1 July 2010)
  277-03040040   Centrelink care determination (post 1 July 2010)
  277-03060000   Integrated Care
  277-03060010   Integrated care - Notification and recording of change in care
  277-03060040   Integrated care - Gathering additional information and evidence
  277-03060050   Integrated care - Disagreed and disputed care
  277-03060070   Integrated Care - Making and recording care determination
  277-03060080   Integrated care - Managing issues after care determination
  277-03070000   Care percentage table (CS)
  277-03080000   Eighteen year old children extending a child support assessment
  277-03090000   Fixed annual rate not to apply applications
  277-03110000   Suspension of child support liability on reconciliation
  277-03120000   Change of assessment in special circumstances
  277-03120010   Change of assessment enquiries
  277-03120020   Manage and process a change of assessment (COA) application
  277-03120040   Finalising a change of assessment (COA) application
  277-03130000   Capacity to pay (CTP) Child Support
  277-03140000   Terminating events (Stage 2)
  277-03150000   Ending a Child Support assessment
  277-03160000   Basic values
  277-03180000   WA Child Support ex-nuptial cases
  277-04000000   Collection
  277-04010000   Establish Child Support account balance
  277-04020000   Income Support Payment (ISP) concession for Centrelink deductions
  277-04030000   Application for Child Support to be collected
  277-04040000   Bankruptcy for Child Support customers
  277-04050000   Business Structures and Financial Statements for Child Support debt recovery
  277-04060000   Calculating financial capacity for business owners
  277-04070000   Centrelink deductions used to collect child support debts
  277-04080000   Centrelink-Child Support information exchange
  277-04080010   Manual information request about a Centrelink customer record
  277-04080020   Manual information request about a Child Support customer record
  277-04090000   Collecting child support payments privately and/or discharging arrears
  277-04100000   Collection of child support debts through third parties (s72A and s72AC)
  277-04110000   Debt offset (CS)
  277-04120000   Debt repayment
  277-04130000   Departure Prohibition Orders (DPO) for Child Support customers
  277-04130010   Issue a Child Support Departure Prohibition Order (CSDPO)
  277-04130020   Activating and/or retaining a Child Support Departure Prohibition Order
  277-04130030   Issuing a Child Support Departure Authorisation Certificate
  277-04130040   Revoking a Child Support Departure Prohibition Order
  277-04140000   Employer withholding (linking) for Child Support customers
  277-04140010   Service Officer role in setting up Employer Withholding (EW) linking
  277-04140020   Employer Services Officer (ESO) role in setting up employer withholding (EW) linking
  277-04140030   Service Support Officer (SSO) role in removing invalid links from Cuba
  277-04150000   Employer Withholding (EW) - Election for EW not to apply (CS)
  277-04160000   Manual Cash reconciliation for Child Support payments - Payment Services team
  277-04170000   Employer withholding reconciliation and top up
  277-04180000   Employer/Organisation debt repayment (CS)
  277-04190000   Employers that have gone into liquidation
  277-04200000   Recovering a Child Support debt from a Family Tax Benefit (FTB)
  277-04210000   Child Support's information gathering powers
  277-04220000   Debt Enforcement referrals
  277-04220010   Guidelines prior to referring Child Support customers for debt enforcement
  277-04220030   Taking a Child Support customer to court
  277-04220040   Monitoring orders and case management after court, including enforcing orders
  277-04220050   Managing Child Support customer Debt Enforcement referrals
  277-04230000   Non Agency Payments (NAPs)
  277-04240000   Non-pursuit of individual Child Support debts
  277-04250000   Non-pursuit of employer Child Support debts
  277-04260000   Child support overpayments and other payee debt
  277-04260010   Information for payers about child support overpayments
  277-04260030   Creating consolidated revenue debts
  277-04270000   Payment defaulter
  277-04280000   Payment options for customers
  277-04290000   Child Support late payment penalties and estimate penalties
  277-04300000   Reassign or transfer a missing or incorrectly receipted child support payment
  277-04310000   Recovery of debts by customers in court (CS)
  277-04330000   Stay orders
  277-04340000   Tax Refund Intercept Process (TRIP) exceptions
  277-04350000   Excess cash on a Child Support customer's account
  277-04360000   Financial hardship
  277-04370000   External searches guide
  277-04380000   Waivers for Child Support customers
  277-04390000   Bank and organisation listing
  277-05000000   Court Orders
  277-05010000   Court varied assessments (CVA) including lump sum orders (CS)
  277-05020000   Section 107 and Section 143 orders for Child Support customers
  277-05020010   Section 107 order received by Child Support
  277-05020020   Section 143 order received by Child Support
  277-05030000   Stage 1 - Change in care non-enforcement (CS)
  277-05040000   Stage 1 - Ending case or liability (CS)
  277-05040010   An event occurs that will end a Child Support case or liability
  277-05040020   Child Support customer or child is deceased
  277-05050000   Stage 1 cases - Low Income non-enforcement periods (CS)
  277-05060000   Stage 1 - registrations
  277-05070000   Stage 1 - variations (CS)
  277-05080000   Suspending disbursements of child support
  277-06000000   Disbursements
  277-06010000   Disbursements of child support
  277-06020000   Suspense account management
  277-06030000   Stale and unpresented cheques
  277-07000000   Income
  277-07010000   Income processing for Child Support customers
  277-07010010   Australian Tax Office (ATO) income for Child Support customers
  277-07010020   Derived income for Child Support customers
  277-07010030   Deemed and Default income for Child Support customers
  277-07010040   Income processing for incarcerated Child Support customers
  277-07010050   Lodgement rules for income in Cuba
  277-07010060   Cuba rules for Child Support customers
  277-07010070   Effect of income changes for Child Support customers
  277-07010080   Notify Child Support customers of income changes
  277-07020000   Income processing for Child Support customers 1 July 2008 to 29 June 2011 (21 November 2012 for WA ex-nuptial cases)
  277-07030000   Income processing for Child Support customers (International parents)
  277-07040000   Child support estimates
  277-07050000   Child Support estimates review (Post 1 July 2010)
  277-07060000   Child support estimates - Reconcile (from 1 July 2011)
  277-07060010   Auto reconciliation procedure for child support estimates (from 1 July 2011)
  277-07060020   Manual reconciliation procedure for child support estimates (from 1 July 2011)
  277-07060030   Reconciling an overseas estimate (from 1 July 2011)
  277-07070000   Child Support estimates (Pre 1 July 2010)
  277-07080000   Child Support estimates review (Pre 1 July 2010)
  277-07090000   Child Support estimates - Reconcile (Pre 1 July 2011)
  277-07100000   Post separation income for Child Support parents
  277-07110000   Legal notice for Child Support access to Australian Taxation Office (ATO) data and systems
  277-08000000   International (CS)
  277-08010000   Central Authority Address Listing for International customers
  277-08020000   Registration of overseas maintenance liabilities (excluding New Zealand)
  277-08030000   International Disbursements - New Zealand bulk payments out (CS)
  277-08040000   International disbursements - Sweden and Slovakia bulk payments out
  277-08050000   International Disbursements - Other bulk payments out
  277-08060000   International Disbursements - New Zealand bulk payments in
