
[Expand/Collapse all sections]Expand all

Australians overseas content

  -------------- ----------------------------------------------------------------------------------------------------------------
  File Name      Title
  061-01000000   Portability of payments
  061-01030000   Customers overseas on 20 September 2000
  061-01040000   Customers overseas on 1 July 2004
  061-01050000   Discretion to extend portability period
  061-01060010   Former resident provisions
  061-01070000   Portability of Add-ons
  061-01070010   Incentive Allowance (IA) overseas absences
  061-01070020   Pensioner Education Supplement (PES) overseas absences
  061-01070030   Pharmaceutical Allowance (PhA) overseas absences
  061-01070040   Rent Assistance (RA) portability
  061-01070050   Remote Area Allowance (RAA) overseas absences
  061-01070060   Telephone Allowance (TAL) overseas absences
  061-01070070   Utilities Allowance (UA) overseas absences
  061-01070080   Pension Supplement overseas absences
  061-01070090   Quarterly supplement overseas absences
  061-01080000   Portability of concession cards
  061-01090000   Portability of payments paid under International Agreements
  061-01100000   Restricted portability for payment during overseas absences where customer has special circumstances
  061-01110000   Transfer to international social security agreements
  061-01110010   Overseas absences for eligible medical reasons
  061-01110020   Overseas absences for humanitarian reasons
  061-01110030   Overseas absences for acute family crisis
  061-01110040   Overseas absences for Australian Defence Force Reserves
  061-01110050   Restricted portability assessment procedure for Centrelink International Services Staff
  061-01120000   Customers assessed under pre 1 July 2014 Australian Working Life Residence (AWLR) rules
  061-02000000   Leaving Australia
  061-02010000   Coding departures and returns for customers leaving Australia
  061-02010010   Change in relationship status to single for a customer residing outside Australia
  061-02010020   Australian pensions paid outside Australia, the proportional rate
  061-02020000   Transferring a customer record to provide additional service options when customer is going overseas long term
  061-03000000   Returning to Australia
  061-03010000   Return to Australia procedures for Centrelink International Services (CIS) staff
  061-03020000   Return to Australia procedures for service centre and Smart Centre staff for pension payments
  061-03030000   Return to Australia coding for dependent children
  061-03040000   Changing details of a customer's travel to and/or from Australia
  061-03040010   Cancelling a trip outside Australia or changing the departure date
  061-03040020   Recording or changing details of a child's travel to or from Australia
  061-03040030   Changing the reason for leaving Australia or the length of an approved absence
  061-03040040   Changing the return date for an absence from Australia
  061-03050000   Return to Australia procedures for service centre and Smart Centre staff for non-pension payments and cards
  061-06000000   About Australians Overseas
  061-17101900   Coding specialist portability assessments for Centrelink International Services (CIS) staff
  061-18020100   Coding for approved Overseas Full Time Study (OFS) payments
  061-19120306   Proof of Life Certificate (AUS061) enquiries
  -------------- ----------------------------------------------------------------------------------------------------------------

                                   

-   Services Australia ABN 90 794 605 008 
