
[Expand/Collapse all sections]Expand all

Help in an emergency content

  -------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  File Name      Title
  003-01000000   AGDRP and NZ DRP
  003-01010000   Eligibility for AGDRP and NZ DRP
  003-01030000   Claiming emergency payments
  003-01030010   AGDRP and NZ DRP claims for an immediate family member who has died or is missing
  003-01040010   Proof of Identity (POI) requirements for Emergency payments
  003-01040020   Processing AGDRP and NZ DRP claims in Customer First
  003-01060000   Grants and ex-gratia payments
  003-01090000   Evacuation and Recovery Centres during emergency events
  003-01090020   Role of the Team Leader in the Recovery Centre
  003-01090030   Zone and National role in emergency management of evacuation and recovery centres
  003-01090040   National Emergency Call Centre Surge Capability (NECCSC)
  003-01100000   Raising emergency payment debts and grant/ex-gratia overpayments
  003-02000000   Disaster Recovery Funding Arrangements (DRFA)
  003-03000000   DRA and NZ DRA
  003-03010000   Eligibility for DRA and NZ DRA
  003-03040000   Payment rates for DRA and NZ DRA
  003-03050000   Processing DRA and NZ DRA claims in Customer First
  003-03060000   Ex-gratia Income Support Allowance
  003-04000000   Australian Victim of Terrorism Overseas Payment (AVTOP)
  003-04020000   Claiming Australian Victim of Terrorism Overseas Payment (AVTOP)
  003-04020010   Primary victim eligibility and rate calculation for the Australian Victim of Terrorism Overseas Payment (AVTOP)
  003-04020020   Secondary victim eligibility and rate calculation for the Australian Victim of Terrorism Overseas Payment (AVTOP)
  003-04030000   Reductions and deductions for the Australian Victim of Terrorism Overseas Payment (AVTOP)
  003-06000000   Initial contact and identification of services for people experiencing a crisis
  003-06010000   Identifying and offering services to customers in crisis or needing special help
  003-06010010   Initial contact from customers in crisis or needing special help
  003-06010020   Helping customers in crisis or financial hardship claim family assistance
  003-06010030   Identifying customer vulnerability and risk issues
  003-06010040   Customers talking about suicide or self-harm
  003-06010050   Homelessness
  003-06010070   Indigenous homelessness
  003-06010080   Where customers are unable to provide a residential address
  003-06010090   Homelessness Indicators
  003-07000000   Crisis Payment
  003-07010000   Eligibility for Crisis Payment (CrP)
  003-07030000   Processing Crisis Payment (CrP) claims
  003-07030010   New claim for Crisis Payment for extreme circumstances family and domestic violence
  003-07030020   New claim for Crisis Payment Other Extreme Circumstances
  003-07030030   New claim for Crisis Payment after customer released from prison or psychiatric confinement
  003-07030040   New claim for Crisis Payment prior to the release of a customer in prison or psychiatric confinement
  003-07030050   New claim for Crisis Payment for humanitarian entrants newly arrived in Australia
  003-07030060   Confirming prison admission and release dates
  003-07030070   Customers who were imprisoned with no incarceration details on their Centrelink record
  003-08000000   Special Benefit
  003-08010010   Special Benefit (SpB) for Australian Citizen Child (ACC) and Australian permanent resident children
  003-08010020   Special Benefit (SpB) income and assets tests
