  File Name      Title
  010-01000000   Initial contact and identification of services for students and Australian Apprentices
  010-01010000   Identifying the most beneficial payment for students or Australian Apprentices
  010-01020040   Initial contact with students or Australian Apprentices with a disability, illness or injury
  010-01020050   Issuing appropriate modules and additional forms for students and Australian Apprentices
  010-01020060   Transfer to Austudy or Youth Allowance (YA) (student) from another payment
  010-01030000   External Specialists/Services available to students and Australian Apprentices
  010-01030010   Accessing Universities
  010-01030030   Accessing schools
  010-01030040   Indigenous Tutorial Assistance Scheme (ITAS)
  010-01030060   Vocational and Educational Guidance Assistance Scheme (VEGAS)
  010-01030070   Indigenous Education Training Programme (IETP)
  010-01030080   Australian Apprenticeship Support Network providers
  010-02000000   ABSTUDY eligibility and requirements
  010-02010000   Claiming ABSTUDY
  010-02010030   Determining who should be the ABSTUDY applicant
  010-02010040   ABSTUDY Claiming Tool process
  010-02010050   ABSTUDY interim claim
  010-02010060   Closing date for ABSTUDY claims
  010-02010070   Completing the Claim for ABSTUDY Schooling A (SY018)
  010-02010080   Completing the Claim for ABSTUDY Remote Areas (SY092)
  010-02010090   Completing the Claim for ABSTUDY Allowances and Part-time Award (SY021)
  010-02010100   Completing the Claim for ABSTUDY Student or Australian Apprentice in lawful custody (SY022)
  010-02010110   Completing the ABSTUDY Additional Information Form (SY023)
  010-02010160   Completing the ABSTUDY Additional Incidentals Allowance Claim Form M (SY031)
  010-02010170   Completing the ABSTUDY Submission for Away from Base Activity Funding (SY034)
  010-02010180   Completing the ABSTUDY Change of Circumstances/Enquiries Sheet (SY053)
  010-02020000   Assessing ABSTUDY claims
  010-02020010   Processing arrangements for ABSTUDY claims and enquiries
  010-02020020   Accepting and checking ABSTUDY claims and forms
  010-02020040   Assessing the claim for ABSTUDY Schooling A
  010-02020050   Assessing a claim for ABSTUDY Schooling B Award, Tertiary Award and Masters and Doctorate Award
  010-02020060   Assessing a claim for ABSTUDY Allowances and Part-time Award
  010-02020070   Assessing the Claim for ABSTUDY Student or Australian Apprentice in lawful custody (SY022)
  010-02020080   Assessing the ABSTUDY Additional Information Form (SY023)
  010-02020090   Assessing Form m (SY031) for ABSTUDY Additional Incidentals Allowance Claim
  010-02020150   Processing ABSTUDY claims in Process Direct
  010-02030000   Eligibility for ABSTUDY
  010-02030010   Age requirements for ABSTUDY
  010-02030020   Residence requirements for ABSTUDY
  010-02030030   Aboriginality or Torres Strait Islander status for ABSTUDY
  010-02030040   Not qualified for ABSTUDY if receiving other assistance to study or as an Australian Apprentice
  010-02030050   ABSTUDY eligibility criteria for Schooling A Award
  010-02030060   ABSTUDY eligibility criteria for Schooling B Award
  010-02030070   ABSTUDY Allowances for Primary Level Study
  010-02030080   ABSTUDY eligibility criteria for Tertiary Award
  010-02030090   ABSTUDY eligibility criteria for Part-time Award
